Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-05-12 08:05 (EST),On Demand,Selena Samuela,45,Running,Music,45 min Hip Hop Run,2021-03-08 06:53 (EST),,,,,,,386,,,
2021-05-14 07:43 (EST),On Demand,Selena Samuela,20,Running,Music,20 min 2010s Run,2021-04-17 08:21 (EST),,,,,,,176,,,
2021-05-14 08:05 (EST),On Demand,Selena Samuela,20,Running,Music,20 min Pop Punk Run,2021-04-18 12:38 (EST),,,,,,,176,,,
2021-05-15 08:10 (-04),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2021-05-10 19:22 (-04),245,91,34%,92,15.45,11.59,488,160.16,,
2021-05-17 09:06 (-04),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-04-21 05:53 (-04),226,84,29%,104,15.01,11.26,437,150.24,,
2021-05-17 09:53 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Rock Ride,2021-05-05 05:49 (-04),121,67,28%,96,13.43,6.72,249,138.07,,
2021-05-18 18:24 (EST),On Demand,Adrian Williams,30,Running,Intervals,30 min HIIT Run,2021-01-31 08:23 (EST),,,,,,,261,,,
2021-05-19 07:58 (-04),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-05-18 07:50 (-04),218,81,28%,105,14.72,11.04,397,142.55,,
2021-05-19 08:46 (-04),On Demand,Emma Lovewell,30,Cycling,Intervals,30 min Intervals & Arms Ride,2021-05-13 16:52 (-04),106,59,29%,81,12.46,6.23,221,129.79,,
2021-05-21 08:39 (EST),On Demand,Adrian Williams,30,Running,Music,30 min R&B Run,2021-02-14 00:00 (EST),,,,,,,265,,,
2021-05-22 08:45 (EST),On Demand,Selena Samuela,45,Running,Music,45 min House Run,2021-05-14 06:55 (EST),,,,,,,387,,,
2021-05-23 06:45 (-04),Live,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-05-22 07:24 (-04),287,80,28%,109,14.67,14.67,635,157.89,,
2021-05-23 07:46 (-04),On Demand,Matt Wilpers,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-04-29 09:00 (-04),15,48,27%,83,11.69,0.98,35,126.61,,
2021-05-23 07:51 (-04),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-08 09:00 (-04),,,,,,,19,98.55,,
2021-05-25 08:11 (EST),On Demand,Selena Samuela,30,Running,Endurance,30 min Endurance Run,2021-05-16 12:29 (EST),,,,,,,266,,,
