Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-10-15 18:44 (-04),On Demand,Jess King,30,Cycling,Live DJ,30 min LHM Live DJ Ride,2021-10-01 19:23 (-04),39,22,24%,47,6.18,3.09,48,,,
2021-10-21 18:33 (-04),On Demand,Kendall Toole,5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-03-18 09:00 (-04),16,55,22%,111,12.47,1.04,20,,,
2021-10-21 18:39 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-10-09 07:53 (-04),162,45,23%,94,10.99,10.99,198,,,
2021-10-21 19:44 (-04),On Demand,Hannah Corbin,20,Stretching,Full Body Stretch,20 min Beyonce Full Body Stretch,2021-10-21 13:30 (-04),,,,,,,46,,,
2021-11-02 17:13 (-04),On Demand,Jess King,45,Cycling,Theme,45 min Halloween Ride,2021-10-30 09:24 (-04),152,56,25%,99,12.51,9.38,186,,,
2021-11-02 18:07 (-04),On Demand,Kristin McGee,20,Yoga,Power,20 min Power Yoga,2021-10-13 11:53 (-04),,,,,,,27,,,
2021-11-04 08:27 (-04),On Demand,Jess Sims,5,Cardio,Warm Up,5 min HIIT Cardio Warm Up,2021-05-03 10:00 (-04),,,,,,,23,,,
2021-11-26 11:00 (-05),On Demand,Selena Samuela,15,Stretching,Full Body Stretch,15 min Mood Full Body Stretch: Calm,2021-07-28 09:00 (-05),,,,,,,34,,,
2021-12-01 06:37 (-05),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-11-20 07:52 (-05),183,51,23%,100,11.85,11.85,224,,,
2021-12-01 07:38 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-16 08:00 (-05),,,,,,,11,,,
2021-12-05 09:08 (EST),On Demand,Kirsten Ferguson,30,Running,Music,30 min 90s Run,2021-11-29 18:51 (EST),,,,,,,264,,,
2021-12-05 09:40 (EST),On Demand,Jermaine Johnson,10,Walking,Warm Up/Cool Down,10 min Cool Down Walk,2021-11-22 01:00 (EST),,,,,,,36,,,
2021-12-08 07:30 (-05),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-12-04 07:53 (-05),197,55,24%,105,12.44,12.45,242,,,
2021-12-08 08:33 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-16 08:00 (-05),,,,,,,11,,,
2021-12-10 10:14 (EST),On Demand,Matt Wilpers,30,Running,Music,30 min Pop Punk Run,2021-12-07 07:23 (EST),,,,,,,260,,,
2021-12-12 11:52 (-05),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-12-11 07:52 (-05),168,47,23%,97,11.56,11.56,206,,,
2021-12-12 12:55 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-16 08:00 (-05),,,,,,,11,,,
2021-12-14 07:36 (-05),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2021-12-04 13:25 (-05),129,48,25%,89,11.65,8.74,157,,,
2021-12-14 08:21 (-05),On Demand,Alex Toussaint,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-06-23 08:00 (-05),13,42,25%,85,10.99,0.91,15,,,
2021-12-14 08:27 (-05),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-07-08 08:00 (-05),,,,,,,11,,,
2021-12-17 08:13 (EST),On Demand,Kirsten Ferguson,30,Running,Music,30 min 2000s Run,2021-12-06 18:54 (EST),,,,,,,260,,,
2021-12-18 10:51 (EST),On Demand,Adrian Williams,30,Running,Live DJ,30 min Holiday: Live DJ Run,2021-12-17 18:51 (EST),,,,,,,263,,,
2021-12-20 09:13 (EST),On Demand,Matt Wilpers,30,Running,Endurance,30 min Endurance Run,2021-12-14 07:24 (EST),,,,,,,259,,,
2021-12-20 09:45 (EST),On Demand,Kirsten Ferguson,20,Running,Music,20 min Hip Hop Run,2021-12-16 10:42 (EST),,,,,,,165,,,
2021-12-22 09:05 (EST),On Demand,Kirsten Ferguson,30,Running,Music,30 min New Tracks Run,2021-12-20 18:53 (EST),,,,,,,262,,,
2021-12-22 09:37 (EST),On Demand,Matty Maggiacomo,30,Running,Theme,30 min Holiday: Pop Run,2021-12-20 17:20 (EST),,,,,,,263,,,
2021-12-23 09:44 (EST),On Demand,Kirsten Ferguson,30,Running,Music,30 min EDM Run,2021-09-30 19:22 (EST),,,,,,,260,,,
2021-12-24 09:38 (EST),On Demand,Matty Maggiacomo,45,Running,Music,45 min 90s Run,2021-12-17 07:22 (EST),,,,,,,392,,,
2021-12-25 09:31 (-05),On Demand,Cody Rigsby,30,Cycling,Theme,"30 min XOXO, Cody: Slay Ride",2021-12-14 18:23 (-05),96,54,24%,102,12.34,6.17,118,,,
2021-12-25 10:04 (-05),On Demand,Kendall Toole,30,Cycling,Music,30 min Holiday Party Ride,2021-12-12 07:53 (-05),94,52,25%,98,12.19,6.09,115,,,
2021-12-25 10:36 (-05),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-11-22 11:00 (-05),,,,,,,11,,,
2021-12-26 11:23 (EST),On Demand,Selena Samuela,30,Running,Theme,30 min Top 50 of 2021 Run: #50-41,2021-12-26 10:00 (EST),,,,,,,264,,,
2021-12-29 10:14 (EST),On Demand,Adrian Williams,30,Running,Music,30 min 2010s Hip Hop Run,2021-12-27 07:21 (EST),,,,,,,261,,,
2021-12-29 10:47 (EST),On Demand,Susie Chan,10,Running,Music,10 min Red (Taylor's Version) Cool Down,2021-12-25 05:00 (EST),,,,,,,73,,,
2021-12-30 09:27 (-05),On Demand,Cody Rigsby,45,Cycling,Intervals,45 min Intervals & Arms Ride,2021-12-22 09:21 (-05),121,45,24%,92,11.26,8.44,148,,,
2021-12-30 10:14 (-05),On Demand,Ben Alldis,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-12-30 03:30 (-05),1,4,22%,13,1.52,0.13,1,,,
2021-12-30 10:22 (-05),On Demand,Selena Samuela,15,Stretching,Full Body Stretch,15 min Mood Full Body Stretch: Calm,2021-07-28 09:00 (-05),,,,,,,34,,,
2021-12-31 09:55 (EST),On Demand,Adrian Williams,30,Running,Theme,30 min Top 50 of 2021 Run: #20-11,2021-12-29 11:51 (EST),,,,,,,262,,,
2022-01-01 09:44 (EST),On Demand,Jess Sims,30,Running,Theme,30 min Top 50 of 2021 Run: #10-1,2021-12-30 11:56 (EST),,,,,,,260,,,
2022-01-01 10:15 (EST),On Demand,Joslyn Thompson Rule,20,Running,Endurance,20 min New Year's Day Recovery Run,2022-01-01 03:00 (EST),,,,,,,34,,,
2022-01-04 07:23 (EST),On Demand,Adrian Williams,20,Running,Intervals,20 min Intervals Run,2021-12-30 07:20 (EST),,,,,,,167,,,
2022-01-04 07:46 (EST),On Demand,Adrian Williams,20,Running,Music,20 min House Run,2021-12-30 07:57 (EST),,,,,,,171,,,
2022-01-07 08:31 (-05),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-12-22 05:54 (-05),189,52,23%,104,12.15,12.15,230,,,
2022-01-08 09:31 (EST),On Demand,Selena Samuela,30,Running,Music,30 min Hip Hop Run,2022-01-06 11:22 (EST),,,,,,,261,,,
2022-01-08 10:04 (EST),On Demand,Jess King,20,Running,Music,20 min Pop Run,2022-01-04 09:59 (EST),,,,,,,172,,,
2022-01-11 06:47 (-05),On Demand,Jess King,45,Cycling,Theme,45 min JKE: New Year's Eve Special,2021-12-31 07:00 (-05),103,38,24%,82,10.43,7.82,126,,,
2022-01-11 07:35 (-05),On Demand,Alex Toussaint,20,Cycling,Music,20 min 90s Hip Hop Ride,2021-10-18 17:26 (-05),37,31,24%,71,9.35,3.12,45,,,
2022-01-14 08:04 (-05),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-11-06 06:54 (-05),181,51,23%,102,11.97,11.84,221,,,
2022-01-14 09:24 (-05),On Demand,Matt Wilpers,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-01-06 11:00 (-05),7,24,20%,72,8.17,0.68,9,,,
2022-01-14 09:30 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-01-06 11:00 (-05),,,,,,,11,,,
2022-01-18 07:36 (-05),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2022-01-17 07:24 (-05),141,52,24%,102,12.21,9.16,173,,,
2022-01-18 08:23 (-05),On Demand,Alex Toussaint,20,Cycling,Music,20 min New Tracks Ride,2022-01-06 18:56 (-05),50,42,25%,81,10.75,3.58,61,,,
2022-01-20 08:35 (-05),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2022-01-15 13:24 (-05),140,52,25%,94,12.14,9.11,171,,,
2022-01-20 09:22 (-05),On Demand,Tunde Oyeneyin,20,Cycling,Music,20 min 90s Ride,2021-10-23 06:53 (-05),29,24,23%,58,7.06,2.35,35,,,
2022-01-22 10:12 (EST),On Demand,Adrian Williams,30,Running,Live DJ,30 min Live DJ Run,2022-01-21 18:53 (EST),,,,,,,262,,,
2022-01-22 10:44 (EST),On Demand,Jess King,20,Running,Music,20 min Rock Run,2022-01-17 10:00 (EST),,,,,,,172,,,
2022-01-23 11:56 (EST),On Demand,Kirsten Ferguson,45,Running,Music,45 min Trap Run,2022-01-08 11:51 (EST),,,,,,,392,,,
2022-01-23 12:44 (EST),On Demand,Adrian Williams,20,Running,Endurance,20 min Recovery Run,2022-01-07 10:10 (EST),,,,,,,168,,,
2022-01-24 06:49 (-05),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2022-01-15 07:54 (-05),167,46,25%,90,11.46,11.46,203,,,
2022-01-24 07:50 (-05),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-01-20 11:00 (-05),,,,,,,11,,,
2022-01-27 06:50 (EST),On Demand,Kirsten Ferguson,30,Running,Music,30 min 2010s Run,2021-12-13 18:53 (EST),,,,,,,261,,,
2022-01-27 07:21 (EST),On Demand,Adrian Williams,20,Running,Music,20 min Trap Run,2022-01-14 10:06 (EST),,,,,,,173,,,
2022-01-28 17:58 (EST),On Demand,Matty Maggiacomo,20,Running,Music,20 min Dance Music Run,2022-01-03 18:08 (EST),,,,,,,173,,,
2022-01-28 18:19 (EST),On Demand,Kirsten Ferguson,20,Running,Music,20 min Pop Run,2022-01-06 10:29 (EST),,,,,,,173,,,
2022-01-29 10:03 (-05),On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,2021-10-16 06:23 (-05),236,52,24%,100,12.17,15.21,288,,,
2022-01-29 11:20 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-01-06 11:00 (-05),,,,,,,11,,,
2022-01-30 11:02 (-05),On Demand,Jess Sims,60,Bike Bootcamp,Music,60 min Pop Bootcamp,2021-11-08 11:50 (-05),106,,,,12.43,6.67,281,,,
2022-01-30 12:06 (-05),On Demand,Kendall Toole,20,Cardio,Shadowboxing,20 min Boxing Basics,2021-12-07 10:00 (-05),,,,,,,104,,,
2022-01-30 12:28 (-05),On Demand,Robin Arzon,10,Stretching,Full Body Stretch,10 min Ed Sheeran Full Body Stretch,2021-09-17 09:00 (-05),,,,,,,23,,,
2022-01-31 06:41 (-05),On Demand,Jess Sims,60,Bike Bootcamp,Body Focus,60 min Bootcamp: Full Body,2022-01-03 11:50 (-05),110,,,,12.54,6.99,284,,,
2022-01-31 07:44 (-05),On Demand,Rad Lopez,20,Cardio,Shadowboxing,20 min Boxing Basics: Combinations,2021-12-07 10:00 (-05),,,,,,,105,,,
2022-02-02 17:49 (EST),On Demand,Kirsten Ferguson,30,Running,Music,30 min Hip Hop Run,2022-01-31 18:50 (EST),,,,,,,258,,,
2022-02-02 18:21 (EST),On Demand,Jess King,20,Running,Intervals,20 min Intervals Run,2022-02-01 09:23 (EST),,,,,,,175,,,
2022-02-04 10:26 (EST),On Demand,Adrian Williams,45,Running,Music,45 min Trap Run,2021-08-20 06:52 (EST),,,,,,,394,,,
2022-02-05 09:54 (-05),On Demand,Jess Sims,45,Bike Bootcamp,Music,45 min EMINEM Bootcamp,2022-01-31 11:52 (-05),76,,,,12.74,4.70,205,,,
2022-02-05 10:43 (-05),On Demand,Cody Rigsby,45,Bike Bootcamp,Music,45 min Pop Bootcamp,2022-01-27 11:48 (-05),42,,,,10.53,3.28,198,,,
2022-02-06 10:23 (-05),On Demand,Kendall Toole,45,Cycling,Music,45 min Classic Rock Ride,2022-01-13 07:20 (-05),115,43,25%,80,10.27,7.70,140,,,
2022-02-08 07:11 (-05),On Demand,Jess Sims,60,Bike Bootcamp,Body Focus,60 min Bootcamp: Full Body,2022-02-07 11:50 (-05),94,,,,12.11,6.19,421,124.34,,
2022-02-08 08:14 (-05),On Demand,Emma Lovewell,20,Cycling,Music,20 min 90s Pop Ride,2022-02-07 16:54 (-05),40,33,25%,64,8.23,2.74,73,89.57,,
2022-02-10 07:53 (-05),On Demand,Jess Sims,45,Bike Bootcamp,Music,45 min 90s Hip Hop Bootcamp,2021-11-29 11:50 (-05),82,,,,12.48,5.17,361,134.36,,
2022-02-10 08:40 (-05),On Demand,Alex Toussaint,30,Cycling,Music,30 min Swizz Beatz Ride,2022-02-09 19:53 (-05),81,45,26%,80,10.73,5.37,267,142.85,,
2022-02-11 07:54 (EST),On Demand,Adrian & Jess ,30,Running,Theme,30 min BHM Block Party Two for One Run,2022-02-05 11:50 (EST),,,,,,,266,,,
2022-02-11 08:26 (EST),On Demand,Kirsten Ferguson,20,Running,Music,20 min Trap Run,2022-02-03 10:26 (EST),,,,,,,173,,,
2022-02-12 10:29 (EST),On Demand,Adrian Williams,45,Running,Music,45 min Hip Hop Run,2020-10-25 08:22 (EST),,,,,,,390,,,
2022-02-12 11:16 (EST),On Demand,Adrian Williams,10,Running,Warm Up/Cool Down,10 min Cool Down Run,2022-02-09 10:00 (EST),,,,,,,73,,,
2022-02-13 09:34 (-05),On Demand,Jess Sims,60,Bike Bootcamp,Music,60 min R&B Bootcamp,2021-12-13 11:52 (-05),102,,,,12.42,6.58,398,122.95,,
2022-02-13 10:38 (-05),On Demand,Cody Rigsby,30,Cycling,Theme,"30 min XOXO, Cody",2022-02-11 18:20 (-05),77,43,24%,88,11.02,5.51,175,115.90,,
2022-02-13 11:12 (-05),On Demand,Callie Gullickson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-10-26 10:00 (-05),,,,,,,11,,,
2022-02-15 08:16 (-05),On Demand,Jess Sims,60,Bike Bootcamp,Music,60 min Pop Bootcamp,2021-11-08 11:50 (-05),103,,,,12.41,6.58,397,122.42,,
2022-02-15 09:18 (-05),On Demand,Robin Arzon,20,Cycling,Intervals,20 min HIIT Ride,2022-02-14 11:00 (-05),57,47,24%,94,11.58,3.86,131,122.09,,
2022-02-15 09:40 (-05),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-11-22 11:00 (-05),,,,,,,13,85.05,,
2022-02-16 08:17 (EST),On Demand,Adrian Williams,45,Tread Bootcamp,Music,Thunder 45: EMINEM,2022-01-30 09:51 (EST),,,,,,,305,,,
2022-02-17 08:27 (-05),On Demand,Alex Toussaint,45,Cycling,Music,45 min Hip Hop Ride,2022-02-12 13:23 (-05),142,53,26%,94,12.23,9.17,334,129.62,,
2022-02-17 09:15 (-05),On Demand,Kendall Toole,20,Cycling,Music,20 min 90s Pop Ride,2022-02-14 20:38 (-05),54,45,24%,89,11.32,3.78,121,117.94,,
2022-02-17 09:37 (-05),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-02-10 11:00 (-05),,,,,,,12,80.38,,
2022-02-18 09:46 (EST),On Demand,Matty Maggiacomo,30,Running,Music,30 min Disney Run,2022-02-04 07:24 (EST),,,,,,,261,,,
2022-02-18 10:18 (EST),On Demand,Adrian Williams,20,Running,Music,20 min 90s Hip Hop Run,2022-02-11 10:07 (EST),,,,,,,173,,,
2022-02-19 09:02 (-05),On Demand,Alex Toussaint,45,Cycling,Music,45 min Hip Hop Ride,2022-01-03 18:24 (-05),146,54,25%,97,12.41,9.31,342,131.34,,
2022-02-19 09:48 (-05),On Demand,Jess King,20,Cycling,Theme,20 min Mood Ride: Salty,2022-02-14 08:00 (-05),59,49,24%,93,11.39,3.80,151,130.76,,
2022-02-21 09:09 (EST),On Demand,Adrian Williams,45,Running,Music,45 min Trap Run,2021-08-20 06:52 (EST),,,,,,,394,,,
2022-02-21 09:56 (EST),On Demand,Matt Wilpers,10,Running,Warm Up/Cool Down,10 min Cool Down Run,2022-02-07 10:00 (EST),,,,,,,73,,,
2022-02-22 18:30 (-05),Live,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2022-02-22 18:21 (-05),109,61,29%,90,13.01,6.50,134,,,
2022-02-22 19:04 (-05),On Demand,Emma Lovewell,30,Cycling,Music,30 min 90s Ride,2022-02-22 07:22 (-05),90,50,27%,87,11.92,5.96,110,,,
2022-02-22 19:36 (-05),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-09-07 08:00 (-05),,,,,,,11,,,
2022-02-23 06:52 (EST),On Demand,Chase Tucker,30,Running,Music,30 min Verzuz Ultimate Mix Run,2022-02-09 10:00 (EST),,,,,,,261,,,
2022-02-23 07:24 (EST),On Demand,Andy Speer,30,Running,Music,30 min Hip Hop Run,2022-02-10 11:24 (EST),,,,,,,263,,,
2022-02-24 06:57 (EST),On Demand,Marcel Dinkins,30,Running,Music,30 min Hip Hop Run,2022-02-17 18:55 (EST),,,,,,,260,,,
2022-02-24 07:28 (EST),On Demand,Matt Wilpers,30,Running,Endurance,30 min Endurance Run,2022-01-04 07:23 (EST),,,,,,,251,,,
2022-02-25 07:20 (-05),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-02-19 07:53 (-05),191,53,24%,102,12.28,12.28,233,,,
2022-02-25 08:23 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-01-06 11:00 (-05),,,,,,,11,,,
2022-02-26 11:33 (EST),On Demand,Adrian Williams,30,Running,Live DJ,30 min Live DJ Run,2022-02-25 18:50 (EST),,,,,,,264,,,
2022-02-26 12:04 (EST),On Demand,Marcel Dinkins,30,Running,Music,30 min Swizz Beatz Run,2022-02-09 18:49 (EST),,,,,,,257,,,
2022-02-27 12:14 (EST),On Demand,Adrian Williams,45,Running,Music,45 min Trap Run,2021-08-20 06:52 (EST),,,,,,,394,,,
2022-02-27 13:01 (EST),On Demand,Jess Sims,20,Running,Music,20 min Hip Hop Run,2022-02-01 18:08 (EST),,,,,,,168,,,
2022-02-28 07:11 (-05),On Demand,Jess Sims,60,Bike Bootcamp,Body Focus,60 min Bootcamp: Full Body,2022-02-21 11:51 (-05),94,,,,12.28,6.08,280,,,
2022-02-28 08:11 (-05),On Demand,Jess King,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-02-17 11:00 (-05),12,42,27%,75,10.87,0.90,15,,,
2022-02-28 08:18 (-05),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-10-14 10:00 (-05),,,,,,,11,,,
2022-03-01 07:41 (EST),On Demand,Adrian Williams,30,Running,Music,30 min 80s Run,2021-12-06 07:24 (EST),,,,,,,261,,,
2022-03-01 08:12 (EST),On Demand,Olivia Amato,30,Running,Music,30 min 90s Run,2022-02-23 07:24 (EST),,,,,,,264,,,
2022-03-03 06:14 (-05),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-01-29 07:54 (-05),185,51,24%,101,12.09,12.09,226,,,
2022-03-03 07:16 (-05),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-02-01 11:00 (-05),,,,,,,11,,,
2022-03-05 08:36 (EST),On Demand,Marcel Dinkins,30,Running,Music,30 min Trap Run,2022-03-04 11:51 (EST),,,,,,,258,,,
2022-03-05 09:08 (EST),On Demand,Adrian Williams,20,Running,Music,20 min Hip Hop Run,2022-03-04 10:10 (EST),,,,,,,173,,,
2022-03-05 09:30 (EST),On Demand,Marcel Dinkins,10,Running,Warm Up/Cool Down,10 min Cool Down Run,2021-09-28 10:00 (EST),,,,,,,72,,,
2022-03-06 08:29 (EST),On Demand,Kirsten Ferguson,45,Running,Music,45 min Hip Hop Run,2022-03-05 11:52 (EST),,,,,,,392,,,
2022-03-06 09:15 (EST),On Demand,Matty Maggiacomo,20,Running,Music,20 min 90s Run,2022-03-04 07:22 (EST),,,,,,,173,,,
2022-03-07 18:13 (-05),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2022-03-05 13:22 (-05),74,41,24%,85,10.87,5.44,90,,,
2022-03-07 18:46 (-05),On Demand,Cody Rigsby,30,Cycling,Theme,"30 min XOXO, Cody",2022-03-01 18:22 (-05),67,37,22%,85,10.25,5.13,81,,,
2022-03-07 19:18 (-05),On Demand,Robin Arzon,10,Stretching,Full Body Stretch,10 min Ed Sheeran Full Body Stretch,2021-09-17 09:00 (-05),,,,,,,23,,,
2022-03-08 06:48 (EST),On Demand,Kirsten Ferguson,30,Running,Music,30 min Caribbean Run,2022-03-07 18:52 (EST),,,,,,,259,,,
2022-03-08 07:20 (EST),On Demand,Marcel Dinkins,20,Running,Music,20 min Trap Run,2022-02-23 10:00 (EST),,,,,,,166,,,
2022-03-08 07:41 (EST),On Demand,Susie Chan,10,Running,Warm Up/Cool Down,10 min Cool Down Run,2022-03-08 02:25 (EST),,,,,,,73,,,
2022-03-10 07:32 (EST),On Demand,Robin Arzon,30,Running,Intervals,30 min Intervals Run,2021-12-20 09:59 (EST),,,,,,,265,,,
2022-03-10 08:04 (EST),On Demand,Adrian Williams,30,Running,Music,30 min 90s Run,2022-02-02 10:00 (EST),,,,,,,265,,,
2022-03-11 08:11 (EST),On Demand,Marcel Dinkins,30,Running,Music,30 min Hip Hop Run,2022-03-10 18:53 (EST),,,,,,,260,,,
2022-03-11 08:43 (EST),On Demand,Kirsten Ferguson,20,Running,Music,20 min 90s Run,2022-03-10 09:55 (EST),,,,,,,172,,,
2022-03-12 07:04 (EST),On Demand,Selena Samuela,30,Running,Music,30 min Pop Run,2022-03-10 11:23 (EST),,,,,,,,,,
2022-03-12 11:09 (EST),On Demand,Selena Samuela,30,Running,Music,30 min Pop Run,2022-03-10 11:23 (EST),,,,,,,262,,,
2022-03-13 11:04 (EST),On Demand,Adrian Williams,20,Running,Endurance,20 min Recovery Run,2022-03-11 10:10 (EST),,,,,,,173,,,
2022-03-13 11:35 (EST),On Demand,Emma Lovewell,15,Strength,Core,15 min WHM Core Strength: Power Stack,2022-03-08 04:00 (EST),,,,,,,68,,,
2022-03-15 07:33 (EST),On Demand,Marcel Dinkins,45,Running,Music,45 min Hip Hop Run,2022-01-23 11:54 (EST),,,,,,,393,,,
2022-03-15 08:20 (EST),On Demand,Jess King,10,Running,Warm Up/Cool Down,10 min Cool Down Run,2022-03-07 10:00 (EST),,,,,,,73,,,
2022-03-17 07:28 (EST),On Demand,Matt Wilpers,30,Running,Endurance,30 min Endurance Run,2022-03-15 07:23 (EST),,,,,,,255,,,
2022-03-17 07:59 (EST),On Demand,Marcel Dinkins,30,Running,Endurance,30 min Recovery Run,2022-03-16 10:00 (EST),,,,,,,259,,,
2022-03-18 10:33 (EST),On Demand,Marcel Dinkins,20,Running,Music,20 min 90s Hip Hop Run,2022-03-17 18:52 (EST),,,,,,,171,,,
2022-03-18 10:56 (EST),On Demand,Olivia Amato,10,Running,Warm Up/Cool Down,10 min Cool Down Run,2022-02-18 10:00 (EST),,,,,,,69,,,
2022-03-19 11:07 (EST),On Demand,Marcel Dinkins,30,Running,Intervals,30 min Intervals Run,2022-01-07 11:50 (EST),,,,,,,259,,,
2022-03-19 11:51 (EST),On Demand,Callie Gullickson,10,Strength,Core,10 min Core Strength,2022-03-12 09:30 (EST),,,,,,,46,,,
2022-03-20 09:42 (-04),On Demand,Jess Sims,60,Bike Bootcamp,Music,60 min 2000s Bootcamp,2022-03-14 11:52 (-04),91,,,,11.74,6.21,277,,,
2022-03-20 10:44 (-04),On Demand,Alex Toussaint,30,Cycling,Music,30 min Hip Hop Ride,2022-03-14 18:22 (-04),38,21,19%,67,7.48,3.74,47,,,
2022-03-25 11:44 (-04),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2022-03-19 13:23 (-04),147,55,26%,93,12.45,9.33,180,,,
2022-03-29 18:16 (EST),On Demand,Cody Rigsby,60,Cycling,Music,60 min Pop Ride,2022-03-26 11:52 (EST),,,,,,,303,,,
2022-03-31 17:47 (EST),On Demand,Alex Toussaint,45,Cycling,Music,45 min Hip Hop Ride,2022-03-28 18:22 (EST),,,,,,,234,,,
2022-03-31 18:34 (EST),On Demand,Cody Rigsby,15,Cycling,Music,15 min Latin Ride,2022-03-28 11:00 (EST),,,,,,,80,,,
2022-04-02 08:18 (-04),On Demand,Kendall Toole,30,Cardio,Shadowboxing,30 min EMINEM Shadowboxing,2022-01-28 21:55 (-04),,,,,,,153,,,
2022-04-02 08:51 (-04),On Demand,Adrian Williams,30,Cardio,HIIT,30 min HIIT Cardio,2022-02-16 11:00 (-04),,,,,,,160,,,
2022-04-04 08:25 (CST),On Demand,Kirsten & Robin ,30,Running,Theme,30 min WHM Two for One Run,2022-03-30 16:54 (CST),,,,,,,264,,,
2022-04-05 09:24 (CST),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2022-04-02 11:22 (CST),,,,,,,154,,,
2022-04-05 10:16 (CST),On Demand,Marcel Dinkins,20,Running,Music,20 min 90s Pop Run,2022-03-31 16:52 (CST),,,,,,,167,,,
2022-04-06 08:14 (CST),On Demand,Marcel Dinkins,60,Running,Endurance,60 min Endurance Run,2021-12-19 10:52 (CST),,,,,,,532,,,
2022-04-08 08:32 (CST),On Demand,Tunde Oyeneyin,45,Cycling,Music,45 min 90s Hip Hop Ride,2022-04-02 09:53 (CST),,,,,,,228,,,
2022-04-09 06:28 (CST),On Demand,Cody Rigsby,30,Cycling,Live DJ,30 min Live DJ Ride,2022-04-08 17:22 (CST),,,,,,,146,,,
2022-04-10 18:16 (-04),On Demand,Cody Rigsby,45,Cycling,Music,45 min Pop Ride,2022-04-07 11:52 (-04),84,31,21%,81,9.29,6.97,103,,,
2022-04-10 19:03 (-04),On Demand,Alex Toussaint,20,Cycling,Music,20 min 2000s Ride,2022-04-04 18:57 (-04),12,10,12%,41,3.97,1.32,14,,,
2022-04-14 07:29 (EST),On Demand,Marcel Dinkins,60,Running,Endurance,60 min Endurance Run,2022-04-10 11:53 (EST),,,,,,,531,,,
2022-04-16 11:01 (EST),On Demand,Matty Maggiacomo,30,Running,Music,30 min 90s Run,2022-03-30 10:00 (EST),,,,,,,264,,,
